id;Comunidades_Autonomas;Provincias;Comarca;SAU;Superficie_HA;Cultivo;Permanota
49;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;8;11 Otros cultivos leñosos;0
50;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;6;10 Árboles de Navidad;0
51;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;114;Barbechos  (incluye las tierras sembradas para abono en verde);0
52;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;4427;2 Pasto intensivo;1
53;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;59;3 Pasto no utilizado a efectos de producción;1
54;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;2386;1 Pasto extensivo;1
55;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;24;2 Frutales originarios de clima templado, de pepita;7
56;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;4;5 Bayas (excluidas las fresas y bayas silvestres);7
57;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;4;6 Frutales de fruto seco;7
58;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;3;Huertos para consumo propio;9
59;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;63;3 Raíces y Tubérculos;9
60;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;15;6 Hortalizas, melones y fresas (excluidas semillas y plántulas);9
61;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;32;2 Leguminosas y proteaginosas secas para grano;9
62;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;1109;1 Cereales para grano;9
63;País Vasco;Araba/Álava;Valles Alaveses;SAU en invernadero o abrigo alto accesible;0;Hortalizas, incluidos melones y fresas;9
64;País Vasco;Araba/Álava;Valles Alaveses;SAU en invernadero o abrigo alto accesible;0;Flores y plantas ornamentales;2
65;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;4 Frutales originarios de clima tropical y subtropical;7
66;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;8 Semillas y plántulas destinadas a la venta;3
67;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;7 Flores y plantas ornamentales (venta como flor cortada, excepto semillas y plántulas);3
68;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;1 Cítricos;8
69;País Vasco;Araba/Álava;Valles Alaveses;SAU en invernadero o abrigo alto accesible;0;Otros cultivos (incluidos huertos para consumo propio <100 m2);8
70;País Vasco;Araba/Álava;Valles Alaveses;SAU en invernadero o abrigo alto accesible;0;Semillas y plántulas destinadas a la venta;5
71;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;9 Viveros;5
72;País Vasco;Araba/Álava;Valles Alaveses;SAU en invernadero o abrigo alto accesible;0;Plantas aromáticas, medicinales y especias así como otras tierras arables;5
73;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;9 Otros herbáceos;0
74;País Vasco;Araba/Álava;Valles Alaveses;SAU en invernadero o abrigo alto accesible;0;Cultivos leñosos / permanentes (incluido viveros);0
75;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;10 Árboles de Navidad;0
76;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;1;5 Bayas (excluidas las fresas y bayas silvestres);7
77;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;1;7 Olivar;8
78;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;2025;5 Cultivos industriales;5
79;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;9;8 Viñedo;6
80;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;590;4 Cultivos cosechados en verde;6
81;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;42;11 Otros cultivos leñosos;0
82;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;983;Barbechos  (incluye las tierras sembradas para abono en verde);0
83;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;1430;2 Pasto intensivo;1
84;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;44;3 Pasto no utilizado a efectos de producción;1
85;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;4709;1 Pasto extensivo;1
86;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;16;2 Frutales originarios de clima templado, de pepita;7
87;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;3;3 Frutales originarios de clima templado, de hueso;7
88;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;11;6 Frutales de fruto seco;7
89;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;2;Huertos para consumo propio;9
90;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;367;3 Raíces y Tubérculos;9
91;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;28;6 Hortalizas, melones y fresas (excluidas semillas y plántulas);9
92;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;758;2 Leguminosas y proteaginosas secas para grano;9
93;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;13940;1 Cereales para grano;9
94;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;1009;5 Cultivos industriales;5
95;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;0;5 Bayas (excluidas las fresas y bayas silvestres);7
96;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;0;3 Frutales originarios de clima templado, de hueso;7
97;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;0;8 Semillas y plántulas destinadas a la venta;3
98;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;0;1 Cítricos;8
99;País Vasco;Araba/Álava;Llanada Alavesa;SAU en invernadero o abrigo alto accesible;0;Otros cultivos (incluidos huertos para consumo propio <100 m2);8
100;País Vasco;Araba/Álava;Llanada Alavesa;SAU en invernadero o abrigo alto accesible;0;Semillas y plántulas destinadas a la venta;5
101;País Vasco;Araba/Álava;Llanada Alavesa;SAU en invernadero o abrigo alto accesible;0;Plantas aromáticas, medicinales y especias así como otras tierras arables;5
102;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;0;9 Otros herbáceos;0
103;País Vasco;Araba/Álava;Llanada Alavesa;SAU en invernadero o abrigo alto accesible;0;Cultivos leñosos / permanentes (incluido viveros);0
104;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;0;10 Árboles de Navidad;0
105;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;1;7 Flores y plantas ornamentales (venta como flor cortada, excepto semillas y plántulas);3
106;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;2;4 Frutales originarios de clima tropical y subtropical;7
107;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;2;9 Viveros;5
108;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;5;7 Olivar;8
109;País Vasco;Araba/Álava;Llanada Alavesa;SAU en invernadero o abrigo alto accesible;0;Flores y plantas ornamentales;2
110;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;9;8 Viñedo;6
111;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;834;4 Cultivos cosechados en verde;6
112;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;4;11 Otros cultivos leñosos;0
113;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;1124;Barbechos  (incluye las tierras sembradas para abono en verde);0
114;País Vasco;Araba/Álava;Llanada Alavesa;SAU al aire libre;2539;2 Pasto intensivo;1
